season,episode_number,title,airdate,rating,total_votes,desc
6,5,The Beach,2007-10-19,8.5,3741,"On a forced vacation, Zuko, Azula, Ty Lee and Mai try to blend in with normal teenagers and learn about themselves and one another. Aang and company are attacked by an ominous assassin."
6,6,The Avatar and the Fire Lord,2007-10-26,9.5,4475,Both Aang and Zuko must learn the history of how the war began. Zuko learns a secret about his great-grandfather's past.
6,7,The Runaway,2007-11-02,8.1,3236,"When Toph discovers a quick way to make cash, Katara disapproves, and the rift between them has disastrous consequences."
6,8,The Puppetmaster,2007-11-09,9.1,4021,Creepy things are afoot when the gang meets a mysterious old innkeeper with a secret.
6,9,Nightmares and Daydreams,2007-11-16,7.7,3532,"As the invasion approaches, Aang has recurring nightmares about being unprepared to face the Firelord. Zuko feels the perks and pressures of being the prince again."
6,10,Day of the Black Sun,2007-11-30,9.1,3651,Zuko makes a decision about his future. Aang reunites with many of his old friends in a full-scale invasion of the Fire Nation capitol to coincide with an eclipse which will remove the Fire Nation's powers.
6,11,Day of the Black Sun,2007-11-30,9.4,3907,The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.
6,12,The Western Air Temple,2007-12-14,8.9,3539,"The gang hides out in the Western Air Temple. Zuko tries to convince the gang of his change in heart, but they are very hesitant. Combustion Man/Sparky-Sparky Boom Man attacks again."
6,13,The Firebending Masters,2008-01-04,9.2,3900,"Zuko has joined up with Aang's group and is now ready to teach Aang fire bending. Unfortunately, Zuko has found out that he has lost his ability and must now relearn it. Zuko and Aang travel to find the original source of fire bending so that they both can learn from The Firebending Masters."
6,14,The Boiling Rock: Part 1,2008-07-16,8.6,3396,"Sokka and Zuko head to the Fire Nation's most heavily guarded prison, the Boiling Rock, in hopes of finding and breaking out the captured invasion force."
6,15,The Boiling Rock,2008-07-16,9.2,3732,"The escape is planned and the heroes attempt to break from the prison that very day. But problems come when Azula, Mai and Ty Lee arrive at the prison."
6,16,The Southern Raiders,2008-07-17,8.9,3621,"Trying to prove that she can trust him, Zuko helps Katara track down the man who killed her mother."
6,17,The Ember Island Players,2008-07-18,8.5,3823,"The gang, now hiding at Ember Island, watch a play about themselves and their adventures."
6,18,Sozin's Comet,2008-07-19,9.0,4108,Sozin's Comet is only three days away. Zuko tells the others what the Fire Lord plans on the day of the comet and the gang realizes that they must stop him before then. But Aang doubts that he can do what is expected of him.
6,19,Sozin's Comet,2008-07-19,9.4,4547,Aang awakes on a mysterious island and confronts his past lives for advice on how to stop the Fire Lord without killing him. The rest of the group searches for Aang.
6,20,Sozin's Comet,2008-07-19,9.8,6600,"Zuko battles his sister with Katara's help for the right to be named Fire Lord. Elsewhere, Aang meets Ozai just as the comet arrives."
6,21,"Sozin's Comet, Part 4: Avatar Aang",2008-07-19,9.8,11053,"Aang's moment of truth arrives. Can he defeat Ozai, the Phoenix King? Will he be forced to take a human life? All the characters face their greatest challenges."
